latitude,longitude,address,datetime,datetimeEpoch,tempmax,tempmin,temp,humidity,precip,precipcover,snow,snowdepth,windgust,windspeed,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,description,date,pm25,pm10,o3,no2,so2,co,City
33,43.2934,5.37132,Marseille,2015-02-03,1422918000,7.2,-1.9,2.4,75.14,9.84,33.33,,,45.6,32.3,998.8,85.4,18.0,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,2015-02-03,68.0,17.0,,,,,Marseille
34,43.2934,5.37132,Marseille,2015-02-04,1423004400,4.0,1.9,2.9,85.06,7.05,70.83,,,54.2,33.1,999.2,95.5,14.0,,,0.0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,2015-02-04,59.0,23.0,,,,,Marseille
35,43.2934,5.37132,Marseille,2015-02-05,1423090800,3.7,1.7000000000000002,2.2,68.1,12.66,54.17,,,67.6,40.8,1000.3,97.2,17.3,,,0.0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,2015-02-05,66.0,35.0,,,,,Marseille
36,43.2934,5.37132,Marseille,2015-02-06,1423177200,4.6,0.2,2.4,67.28,0.01,4.17,,,46.1,28.2,1005.6,83.7,15.9,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,2015-02-06,85.0,51.0,,,,,Marseille
37,43.2934,5.37132,Marseille,2015-02-07,1423263600,9.2,-0.8,3.3,68.34,0.03,8.33,,,31.7,20.6,1016.9,50.9,11.6,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,2015-02-07,125.0,33.0,,,,,Marseille
38,43.2934,5.37132,Marseille,2015-02-08,1423350000,7.9,-1.2,3.8,60.07,0.0,0.0,,,77.9,53.1,1015.3,11.8,16.5,,,0.0,Clear,Clear conditions throughout the day.,2015-02-08,96.0,45.0,,,,,Marseille
39,43.2934,5.37132,Marseille,2015-02-09,1423436400,11.0,-0.6000000000000001,4.7,59.51,0.0,0.0,,,44.1,18.5,1023.3,1.0,30.9,,,0.0,Clear,Clear conditions throughout the day.,2015-02-09,92.0,55.0,,,,,Marseille
40,43.2934,5.37132,Marseille,2015-02-10,1423522800,12.3,-1.4,4.3,65.61,0.0,0.0,,,28.6,11.0,1023.2,2.1,15.8,,,0.0,Clear,Clear conditions throughout the day.,2015-02-10,109.0,52.0,,,,,Marseille
41,43.2934,5.37132,Marseille,2015-02-11,1423609200,13.9,-0.2,5.8,81.13,0.0,0.0,,,13.1,8.4,1024.0,3.7,12.5,,,0.0,Clear,Clear conditions throughout the day.,2015-02-11,106.0,50.0,,,,,Marseille
42,43.2934,5.37132,Marseille,2015-02-12,1423695600,14.5,0.7000000000000001,6.9,82.71,0.0,0.0,,,24.6,15.8,1022.1,46.0,11.5,,,0.0,Partially cloudy,Partly cloudy throughout the day.,2015-02-12,98.0,38.0,,,,,Marseille
43,43.2934,5.37132,Marseille,2015-02-13,1423782000,14.8,7.9,10.7,80.23,9.51,12.5,,,31.7,20.7,1020.4,92.0,20.4,,,0.0,"Rain, Overcast",Cloudy skies throughout the day with rain.,2015-02-13,82.0,24.0,,,,,Marseille
44,43.2934,5.37132,Marseille,2015-02-14,1423868400,10.7,7.0,9.3,85.91,22.84,50.0,,,27.1,17.5,1013.3,82.4,22.8,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,2015-02-14,65.0,14.0,,,,,Marseille
45,43.2934,5.37132,Marseille,2015-02-15,1423954800,11.6,6.9,8.6,82.68,21.53,62.5,,,31.3,21.4,1009.6,93.4,21.6,,,0.0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,2015-02-15,53.0,29.0,,,,,Marseille
46,43.2934,5.37132,Marseille,2015-02-16,1424041200,13.1,6.1,8.9,77.52,9.91,37.5,,,34.4,18.7,1014.7,77.1,18.5,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,2015-02-16,62.0,36.0,,,,,Marseille
47,43.2934,5.37132,Marseille,2015-02-17,1424127600,11.8,6.0,8.4,79.66,1.22,29.17,,,38.1,25.4,1025.2,79.5,14.4,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,2015-02-17,88.0,47.0,,,,,Marseille
48,43.2934,5.37132,Marseille,2015-02-18,1424214000,12.8,2.0,6.6,74.78,0.0,0.0,,,24.0,14.3,1032.2,3.8,14.1,,,0.0,Clear,Clear conditions throughout the day.,2015-02-18,95.0,53.0,,,,,Marseille
49,43.2934,5.37132,Marseille,2015-02-19,1424300400,14.3,1.4,6.8,77.14,0.0,0.0,,,21.8,14.9,1031.6,2.2,10.7,,,0.0,Clear,Clear conditions throughout the day.,2015-02-19,106.0,41.0,,,,,Marseille
50,43.2934,5.37132,Marseille,2015-02-20,1424386800,12.9,1.5,7.2,73.39,0.06,8.33,,,38.5,25.2,1023.5,44.1,17.9,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,2015-02-20,88.0,22.0,,,,,Marseille
51,43.2934,5.37132,Marseille,2015-02-21,1424473200,12.1,4.9,9.0,82.93,36.79,75.0,,,64.0,35.7,1005.3,93.3,20.7,,,0.0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,2015-02-21,53.0,9.0,,,,,Marseille
