temp,humidity,precip,windspeed,pressure,cloudcover,visibility,uvindex,pm25,pm10,o3,no2,Clear,Partially cloudy,Rain,Snow,Overcast,month,day_of_week,target
64,8.7,60.72,0.0,10.6,1027.7,1.0,18.2,0.0,123.0,66.0,20.0,67.0,1,0,0,0,0,3,3,2
65,9.5,61.89,0.0,10.4,1026.4,7.2,11.2,0.0,132.0,67.0,25.0,58.0,1,0,0,0,0,3,4,2
66,11.5,59.7,0.0,15.8,1027.5,1.0,9.0,0.0,145.0,63.0,28.0,61.0,1,0,0,0,0,3,5,2
67,13.2,51.47,0.0,13.7,1025.8,0.0,14.8,0.0,119.0,71.0,27.0,68.0,1,0,0,0,0,3,6,2
68,13.3,58.92,0.0,22.5,1024.3,0.1,11.2,0.0,138.0,80.0,13.0,44.0,1,0,0,0,0,3,0,2
69,11.2,74.74,0.0,23.3,1027.5,10.0,3.8,0.0,164.0,86.0,22.0,67.0,1,0,0,0,0,3,1,2
70,12.1,59.12,0.0,13.2,1028.9,0.4,6.7,0.0,166.0,91.0,23.0,84.0,1,0,0,0,0,3,2,2
71,12.7,57.18,0.0,8.3,1028.3,0.0,6.6,0.0,168.0,98.0,15.0,71.0,1,0,0,0,0,3,3,2
72,13.1,64.15,0.01,13.9,1027.0,0.5,4.0,0.0,177.0,64.0,23.0,40.0,0,0,1,0,0,3,4,2
73,10.9,71.12,0.0,20.6,1027.6,20.8,11.6,0.0,113.0,42.0,25.0,40.0,0,1,0,0,0,3,5,2
74,12.2,69.08,0.01,16.3,1025.5,1.7000000000000002,19.1,0.0,67.0,81.0,15.0,46.0,0,0,1,0,0,3,6,1
75,9.1,83.26,0.0,14.0,1023.8,18.0,14.1,0.0,81.0,42.0,24.0,43.0,1,0,0,0,0,3,0,1
76,10.1,76.85,0.0,19.7,1020.7,25.0,15.0,0.0,74.0,51.0,22.0,53.0,0,1,0,0,0,3,1,1
77,11.5,69.9,0.0,15.8,1026.7,13.3,19.5,0.0,64.0,56.0,31.0,52.0,1,0,0,0,0,3,2,1
78,13.2,62.72,0.0,24.4,1016.1,3.4,19.8,0.0,69.0,34.0,27.0,47.0,1,0,0,0,0,3,3,1
79,11.2,65.53,0.32,26.6,1010.9,22.8,21.6,0.0,56.0,24.0,27.0,39.0,0,1,1,0,0,3,4,1
80,9.2,65.57,0.47,24.9,1005.6,18.3,26.9,0.0,40.0,23.0,25.0,40.0,0,0,1,0,0,3,5,0
81,6.4,72.97,0.4,22.8,1009.5,11.3,25.8,0.0,41.0,44.0,17.0,60.0,0,0,1,0,0,3,6,0
82,6.6,65.24,2.8,10.9,1014.3,11.1,22.7,0.0,72.0,37.0,16.0,54.0,0,0,1,0,0,3,0,1
83,6.3,78.98,2.19,17.4,1008.8,27.5,19.2,0.0,77.0,53.0,21.0,53.0,0,1,1,0,0,3,1,1
84,6.9,64.03,0.0,16.3,1013.6,11.5,16.6,0.0,99.0,54.0,25.0,63.0,1,0,0,0,0,3,2,1
85,7.4,60.92,0.0,13.9,1011.6,12.0,14.6,0.0,114.0,59.0,31.0,63.0,1,0,0,0,0,3,3,2
86,10.2,49.46,0.0,18.3,1014.0,10.5,14.7,0.0,123.0,60.0,33.0,55.0,1,0,0,0,0,3,4,2
87,13.6,48.16,0.0,23.0,1014.2,8.5,18.2,0.0,95.0,59.0,24.0,66.0,1,0,0,0,0,3,5,1
88,14.5,50.42,0.0,12.6,1014.1,13.1,23.0,0.0,92.0,61.0,22.0,66.0,1,0,0,0,0,3,6,1
89,14.5,61.11,0.0,14.8,1013.7,20.4,21.3,0.0,99.0,64.0,29.0,65.0,0,1,0,0,0,3,0,1
90,15.2,62.45,0.0,13.2,1011.0,11.8,20.9,0.0,96.0,59.0,17.0,59.0,1,0,0,0,0,4,1,1
91,15.4,61.06,0.0,13.0,1004.7,14.1,20.5,0.0,88.0,59.0,23.0,58.0,1,0,0,0,0,4,2,1
92,15.7,61.93,0.0,17.4,1001.5,20.4,23.9,0.0,81.0,82.0,20.0,56.0,0,1,0,0,0,4,3,1
93,13.0,75.77,0.02,14.4,1009.4,26.2,17.5,0.0,81.0,44.0,47.0,50.0,0,1,1,0,0,4,4,1
94,13.5,66.27,0.0,13.7,1016.5,11.0,21.6,0.0,68.0,34.0,16.0,32.0,1,0,0,0,0,4,5,1
95,15.6,77.28,0.0,16.9,1018.6,24.3,25.7,0.0,46.0,46.0,28.0,35.0,0,1,0,0,0,4,6,0
96,16.4,76.54,1.73,24.2,1014.6,15.9,19.5,0.0,54.0,32.0,29.0,49.0,0,0,1,0,0,4,0,1
97,11.2,63.78,4.95,24.1,1021.5,17.0,27.0,0.0,45.0,48.0,24.0,60.0,0,0,1,0,0,4,1,0
98,11.1,62.9,0.0,9.1,1027.3,3.6,21.4,0.0,69.0,64.0,26.0,69.0,1,0,0,0,0,4,2,1
99,13.5,56.81,0.0,12.6,1022.3,1.5,20.2,0.0,89.0,70.0,31.0,56.0,1,0,0,0,0,4,3,1
100,13.2,64.9,0.0,18.4,1018.9,4.0,13.9,0.0,101.0,66.0,36.0,50.0,1,0,0,0,0,4,4,2
101,12.8,61.4,0.0,14.0,1019.8,11.6,14.0,0.0,102.0,39.0,30.0,47.0,1,0,0,0,0,4,5,2
102,11.9,67.75,0.0,17.9,1022.6,22.2,22.3,0.0,62.0,57.0,32.0,45.0,0,1,0,0,0,4,6,1
103,11.7,60.41,0.0,20.3,1023.4,3.9,21.8,0.0,63.0,70.0,30.0,57.0,1,0,0,0,0,4,0,1
104,10.0,55.8,0.0,17.8,1027.4,1.6,24.7,0.0,64.0,55.0,34.0,59.0,1,0,0,0,0,4,1,1
105,11.1,48.94,0.0,16.9,1027.0,0.9,22.3,0.0,74.0,59.0,38.0,62.0,1,0,0,0,0,4,2,1
106,13.7,40.73,0.0,11.3,1021.5,4.9,24.3,0.0,67.0,69.0,31.0,45.0,1,0,0,0,0,4,3,1
107,12.4,52.76,0.0,23.3,1016.6,18.7,22.5,0.0,64.0,92.0,28.0,47.0,1,0,0,0,0,4,4,1
108,9.5,62.5,0.0,18.9,1014.1,14.3,22.1,0.0,64.0,61.0,34.0,46.0,1,0,0,0,0,4,5,1
109,12.9,54.3,0.01,13.3,1004.6,22.0,22.0,0.0,69.0,45.0,35.0,56.0,0,1,1,0,0,4,6,1
110,13.0,61.97,0.03,11.0,1005.2,25.5,24.8,0.0,63.0,51.0,30.0,55.0,0,1,1,0,0,4,0,1
111,13.7,72.75,11.91,23.0,1010.5,21.2,20.2,0.0,72.0,45.0,33.0,55.0,0,1,1,0,0,4,1,1
112,14.3,73.28,0.03,11.3,1018.3,15.8,16.1,0.0,74.0,62.0,27.0,58.0,0,0,1,0,0,4,2,1
113,15.5,68.15,0.27,15.1,1017.5,22.5,17.4,0.0,99.0,46.0,23.0,49.0,0,1,1,0,0,4,3,1
114,13.7,84.47,14.89,18.1,1011.1,27.7,12.8,0.0,101.0,29.0,17.0,43.0,0,1,1,0,0,4,4,2
115,10.3,89.88,4.88,17.5,1011.2,19.3,17.2,0.0,65.0,23.0,29.0,35.0,0,0,1,0,0,4,5,1
116,10.5,83.66,7.54,21.0,1006.0,18.0,22.9,0.0,47.0,31.0,23.0,47.0,0,0,1,0,0,4,6,0
117,11.5,79.94,0.15,11.4,1009.5,23.7,23.2,0.0,62.0,39.0,19.0,54.0,0,1,1,0,0,4,0,1
118,10.8,85.4,7.14,14.1,1012.4,15.6,14.8,0.0,74.0,80.0,24.0,56.0,0,0,1,0,0,4,1,1
119,13.5,78.33,8.82,15.6,1012.1,18.0,12.7,0.0,88.0,31.0,19.0,40.0,0,0,1,0,0,4,2,1
120,12.1,88.88,17.64,14.0,1011.9,20.5,14.5,0.0,67.0,40.0,30.0,38.0,0,1,1,0,0,5,3,1
121,12.2,82.52,20.42,28.2,1017.2,23.3,15.1,0.0,74.0,38.0,34.0,43.0,0,1,1,0,0,5,4,1
122,10.8,59.57,0.01,25.2,1024.7,6.9,23.8,0.0,60.0,47.0,39.0,56.0,0,0,1,0,0,5,5,1
123,11.9,55.82,0.0,12.8,1023.1,3.7,19.9,0.0,81.0,52.0,39.0,69.0,1,0,0,0,0,5,6,1
124,15.4,52.46,0.0,14.1,1015.1,8.2,20.8,0.0,82.0,39.0,31.0,47.0,1,0,0,0,0,5,0,1
125,15.9,68.01,23.68,24.7,1010.1,24.3,24.5,0.0,58.0,68.0,25.0,44.0,0,1,1,0,0,5,1,1
126,13.8,76.54,5.53,19.1,1014.6,26.5,23.3,0.0,48.0,26.0,25.0,26.0,0,1,1,0,0,5,2,0
127,13.0,78.36,5.66,21.9,1016.1,26.2,22.3,0.0,38.0,31.0,29.0,35.0,0,1,1,0,0,5,3,0
128,15.7,69.83,0.15,24.0,1016.7,38.2,23.7,0.0,43.0,26.0,27.0,32.0,0,1,1,0,0,5,4,0
129,13.4,82.92,7.42,21.4,1013.3,25.3,21.0,0.0,49.0,32.0,29.0,28.0,0,1,1,0,0,5,5,0
130,11.7,72.45,9.98,26.3,1011.0,13.3,23.7,0.0,35.0,61.0,21.0,41.0,0,0,1,0,0,5,6,0
131,10.6,75.8,2.22,19.5,1014.7,13.4,24.6,0.0,39.0,28.0,23.0,41.0,0,0,1,0,0,5,0,0
132,10.5,76.89,1.76,18.4,1019.9,15.6,23.7,0.0,45.0,38.0,31.0,47.0,0,0,1,0,0,5,1,0
133,12.7,69.34,0.02,21.0,1029.8,5.8,20.5,0.0,57.0,43.0,33.0,51.0,0,0,1,0,0,5,2,1
134,12.6,58.0,0.0,20.0,1034.4,0.8,24.1,0.0,63.0,85.0,32.0,54.0,1,0,0,0,0,5,3,1
135,14.2,58.15,0.0,21.0,1030.3,1.4,21.5,0.0,69.0,59.0,42.0,60.0,1,0,0,0,0,5,4,1
136,16.6,54.76,0.0,16.5,1022.6,1.4,20.8,0.0,82.0,51.0,44.0,61.0,1,0,0,0,0,5,5,1
137,18.5,54.24,0.0,11.9,1013.6,1.5,21.6,0.0,74.0,48.0,43.0,63.0,1,0,0,0,0,5,6,1
138,19.8,52.39,0.0,21.3,1005.1,3.0,24.3,0.0,64.0,34.0,27.0,53.0,1,0,0,0,0,5,0,1
139,16.7,73.95,7.17,17.7,1009.1,20.7,24.9,0.0,55.0,37.0,26.0,52.0,0,1,1,0,0,5,1,1
140,14.7,92.57,26.92,15.7,1008.1,25.2,15.4,0.0,70.0,29.0,29.0,49.0,0,1,1,0,0,5,2,1
141,14.9,76.83,14.95,22.5,1006.0,13.6,24.7,0.0,58.0,31.0,25.0,49.0,0,0,1,0,0,5,3,1
142,14.1,76.98,0.93,18.8,1008.7,18.1,23.3,0.0,58.0,25.0,26.0,38.0,0,0,1,0,0,5,4,1
143,12.5,83.38,4.5,23.4,1013.3,22.8,21.2,0.0,54.0,31.0,32.0,47.0,0,1,1,0,0,5,5,1
144,14.8,72.58,0.15,13.2,1018.3,10.7,22.2,0.0,60.0,34.0,24.0,49.0,0,0,1,0,0,5,6,1
145,14.6,86.1,18.3,12.8,1015.8,24.3,17.4,0.0,65.0,30.0,23.0,37.0,0,1,1,0,0,5,0,1
146,13.9,83.36,0.23,17.7,1015.0,26.9,17.7,0.0,59.0,32.0,21.0,45.0,0,1,1,0,0,5,1,1
147,13.2,84.51,0.93,16.2,1013.9,27.3,18.5,0.0,58.0,31.0,33.0,44.0,0,1,1,0,0,5,2,1
148,14.8,74.36,0.19,15.1,1016.2,22.7,18.7,0.0,60.0,40.0,30.0,50.0,0,1,1,0,0,5,3,1
149,17.2,69.25,0.03,15.4,1019.8,21.8,22.3,0.0,72.0,50.0,35.0,43.0,0,1,1,0,0,5,4,1
150,16.5,63.61,0.0,17.1,1022.5,4.8,15.7,0.0,86.0,37.0,34.0,49.0,1,0,0,0,0,5,5,1
151,14.9,65.17,0.01,13.8,1022.8,17.1,20.5,0.0,70.0,79.0,35.0,55.0,0,0,1,0,0,6,6,1
152,16.3,69.01,0.0,11.7,1020.0,19.7,16.3,0.0,81.0,36.0,27.0,57.0,1,0,0,0,0,6,0,1
153,17.0,69.08,0.73,17.9,1015.3,22.3,22.2,0.0,67.0,28.0,22.0,43.0,0,1,1,0,0,6,1,1
154,13.9,85.46,30.75,16.9,1008.2,21.0,17.4,0.0,51.0,32.0,28.0,48.0,0,1,1,0,0,6,2,1
155,14.5,59.14,0.0,15.2,1014.2,7.0,26.6,0.0,52.0,64.0,38.0,71.0,1,0,0,0,0,6,3,1
156,20.4,55.48,0.0,15.2,1012.7,5.7,25.1,0.0,71.0,43.0,39.0,53.0,1,0,0,0,0,6,4,1
157,23.1,62.47,0.16,15.1,1012.6,14.0,24.7,0.0,71.0,33.0,39.0,41.0,0,0,1,0,0,6,5,1
158,22.0,72.27,2.07,14.0,1017.2,14.5,21.1,0.0,64.0,32.0,34.0,49.0,0,0,1,0,0,6,6,1
159,21.6,77.16,19.67,14.1,1015.4,11.2,21.6,0.0,66.0,42.0,14.0,56.0,0,0,1,0,0,6,0,1
160,18.3,89.76,57.21,14.2,1019.0,22.1,14.2,0.0,78.0,37.0,35.0,48.0,0,1,1,0,0,6,1,1
161,20.6,63.35,0.0,17.8,1025.0,12.5,24.3,0.0,65.0,41.0,38.0,57.0,1,0,0,0,0,6,2,1
162,20.3,57.74,0.0,17.3,1026.2,2.0,24.6,0.0,60.0,47.0,44.0,60.0,1,0,0,0,0,6,3,1
163,20.2,61.23,0.0,18.3,1022.7,3.4,20.9,0.0,75.0,42.0,26.0,36.0,1,0,0,0,0,6,4,1
164,18.5,64.45,0.0,24.1,1021.3,11.6,22.9,0.0,62.0,43.0,32.0,34.0,1,0,0,0,0,6,5,1
165,16.1,67.53,0.0,24.7,1023.1,7.2,21.9,0.0,57.0,45.0,29.0,38.0,1,0,0,0,0,6,6,1
166,15.9,68.62,0.0,24.2,1023.2,8.8,22.4,0.0,56.0,45.0,24.0,39.0,1,0,0,0,0,6,0,1
167,15.8,69.3,0.0,23.3,1022.8,22.6,23.1,0.0,61.0,50.0,31.0,43.0,0,1,0,0,0,6,1,1
168,17.4,66.35,0.0,21.1,1022.4,11.9,20.8,0.0,66.0,43.0,23.0,42.0,1,0,0,0,0,6,2,1
169,17.2,69.86,0.01,19.4,1021.7,11.3,22.5,0.0,61.0,49.0,23.0,43.0,0,0,1,0,0,6,3,1
170,17.4,63.24,0.0,16.4,1020.6,10.4,23.2,0.0,63.0,69.0,31.0,47.0,1,0,0,0,0,6,4,1
171,18.8,53.94,0.0,15.9,1019.0,2.0,26.6,0.0,60.0,63.0,43.0,57.0,1,0,0,0,0,6,5,1
172,21.0,50.41,0.0,18.1,1019.2,5.0,25.7,0.0,70.0,53.0,31.0,55.0,1,0,0,0,0,6,6,1
173,20.3,50.68,0.0,18.5,1019.9,5.8,26.6,0.0,62.0,54.0,39.0,61.0,1,0,0,0,0,6,0,1
174,20.9,53.42,0.0,18.7,1017.6,2.7,25.3,0.0,72.0,48.0,32.0,50.0,1,0,0,0,0,6,1,1
175,18.6,60.4,0.0,16.0,1015.2,8.1,23.3,0.0,70.0,52.0,40.0,63.0,1,0,0,0,0,6,2,1
176,18.8,53.35,0.42,16.3,1014.7,8.4,24.8,0.0,71.0,45.0,27.0,47.0,0,0,1,0,0,6,3,1
177,19.3,73.0,0.11,19.7,1014.9,18.3,21.3,0.0,67.0,35.0,20.0,43.0,0,0,1,0,0,6,4,1
178,16.3,83.58,13.21,10.9,1011.6,26.5,19.8,0.0,67.0,28.0,22.0,35.0,0,1,1,0,0,6,5,1
179,14.7,84.62,12.07,17.1,1012.0,19.3,19.6,0.0,58.0,39.0,29.0,53.0,0,0,1,0,0,6,6,1
180,16.9,65.18,0.02,12.9,1017.6,15.8,24.6,0.0,69.0,38.0,34.0,54.0,0,0,1,0,0,6,0,1
181,18.8,61.12,0.02,19.0,1017.4,22.8,25.9,0.0,62.0,40.0,42.0,59.0,0,1,1,0,0,7,1,1
182,19.9,52.62,0.0,17.9,1020.6,5.0,26.6,0.0,64.0,52.0,50.0,79.0,1,0,0,0,0,7,2,1
183,23.2,47.89,0.0,10.9,1021.6,3.7,26.2,0.0,74.0,44.0,36.0,63.0,1,0,0,0,0,7,3,1
184,22.1,63.89,0.05,20.8,1011.7,19.0,26.0,0.0,74.0,24.0,19.0,26.0,0,0,1,0,0,7,4,1
185,20.2,76.79,2.08,23.3,1008.2,26.5,23.2,0.0,42.0,24.0,24.0,34.0,0,1,1,0,0,7,5,0
186,17.9,81.54,10.11,19.7,1008.4,23.6,24.7,0.0,51.0,37.0,18.0,48.0,0,1,1,0,0,7,6,1
187,16.5,77.65,3.12,10.8,1016.3,14.9,22.5,0.0,70.0,32.0,21.0,46.0,0,0,1,0,0,7,0,1
188,15.3,85.53,23.59,11.4,1015.5,22.9,18.6,0.0,64.0,36.0,22.0,37.0,0,1,1,0,0,7,1,1
189,14.4,88.79,15.25,18.4,1016.1,24.2,15.7,0.0,65.0,29.0,18.0,35.0,0,1,1,0,0,7,2,1
190,14.7,89.82,11.2,22.3,1014.6,26.4,15.2,0.0,53.0,31.0,21.0,38.0,0,1,1,0,0,7,3,1
191,15.9,88.0,30.99,15.2,1017.1,23.3,16.4,0.0,59.0,37.0,36.0,43.0,0,1,1,0,0,7,4,1
192,17.1,80.51,0.0,8.8,1016.2,26.3,18.2,0.0,71.0,30.0,20.0,28.0,0,1,0,0,0,7,5,1
193,18.1,87.87,19.33,15.8,1011.6,28.8,19.1,0.0,59.0,33.0,32.0,41.0,0,1,1,0,0,7,6,1
194,18.0,71.86,3.52,12.2,1015.5,13.0,24.1,0.0,63.0,42.0,29.0,53.0,0,0,1,0,0,7,0,1
195,20.1,66.7,0.0,10.9,1020.7,15.5,24.4,0.0,85.0,46.0,43.0,63.0,1,0,0,0,0,7,1,1
196,23.8,61.18,0.0,9.3,1021.2,10.6,24.8,0.0,82.0,50.0,46.0,65.0,1,0,0,0,0,7,2,1
197,25.5,59.13,0.0,13.2,1019.0,2.7,23.4,0.0,81.0,53.0,63.0,80.0,1,0,0,0,0,7,3,1
198,28.1,53.89,0.0,15.6,1013.0,4.9,23.5,0.0,84.0,50.0,53.0,55.0,1,0,0,0,0,7,4,1
199,26.0,62.98,0.22,16.7,1008.4,16.6,21.8,0.0,84.0,27.0,28.0,33.0,0,0,1,0,0,7,5,1
200,20.7,82.12,14.21,14.4,1010.1,20.4,19.6,0.0,63.0,32.0,38.0,40.0,0,1,1,0,0,7,6,1
201,20.3,76.64,6.34,23.0,1016.2,18.4,19.6,0.0,66.0,40.0,44.0,45.0,0,0,1,0,0,7,0,1
202,19.8,79.59,0.0,19.2,1019.5,18.0,18.6,0.0,70.0,53.0,42.0,61.0,1,0,0,0,0,7,1,1
203,22.8,70.66,0.21,17.3,1016.1,17.7,14.1,0.0,101.0,53.0,55.0,74.0,0,0,1,0,0,7,2,2
204,24.9,57.43,0.0,14.6,1013.0,4.9,22.0,0.0,82.0,52.0,50.0,64.0,1,0,0,0,0,7,3,1
