datetime,pm25,pm10,o3,no2
205,2014-07-25,78.0,45.0,39.0,46.0
206,2014-07-26,78.0,76.0,47.0,53.0
207,2014-07-27,79.0,32.0,34.0,48.0
208,2014-07-28,71.0,31.0,28.0,40.0
209,2014-07-29,62.0,37.0,36.0,50.0
210,2014-07-30,68.0,42.0,39.0,58.0
211,2014-07-31,67.0,46.0,43.0,61.0
212,2014-08-01,76.0,36.0,28.0,39.0
213,2014-08-02,63.0,23.0,27.0,38.0
214,2014-08-03,54.0,29.0,28.0,49.0
215,2014-08-04,61.0,36.0,35.0,53.0
216,2014-08-05,70.0,33.0,12.0,46.0
217,2014-08-06,72.0,34.0,17.0,45.0
218,2014-08-07,79.0,26.0,16.0,37.0
219,2014-08-08,63.0,23.0,26.0,32.0
220,2014-08-09,53.0,23.0,23.0,26.0
221,2014-08-10,52.0,29.0,25.0,29.0
222,2014-08-11,44.0,64.0,24.0,31.0
223,2014-08-12,46.0,53.0,22.0,38.0
224,2014-08-13,53.0,24.0,25.0,36.0
225,2014-08-14,53.0,21.0,28.0,27.0
226,2014-08-15,48.0,29.0,32.0,40.0
227,2014-08-16,63.0,22.0,60.0,30.0
228,2014-08-17,44.0,31.0,27.0,39.0
229,2014-08-18,46.0,28.0,25.0,40.0
230,2014-08-19,52.0,41.0,27.0,49.0
231,2014-08-20,57.0,39.0,29.0,54.0
232,2014-08-21,59.0,29.0,27.0,41.0
233,2014-08-22,54.0,27.0,32.0,36.0
234,2014-08-23,51.0,29.0,30.0,48.0
235,2014-08-24,54.0,29.0,19.0,41.0
236,2014-08-25,59.0,23.0,19.0,41.0
237,2014-08-26,56.0,29.0,16.0,43.0
238,2014-08-27,63.0,30.0,15.0,41.0
239,2014-08-28,59.0,34.0,24.0,49.0
240,2014-08-29,61.0,28.0,20.0,39.0
241,2014-08-30,61.0,29.0,27.0,37.0
242,2014-08-31,58.0,43.0,32.0,61.0
243,2014-09-01,78.0,44.0,23.0,45.0
244,2014-09-02,75.0,45.0,30.0,42.0
245,2014-09-03,82.0,47.0,14.0,41.0
246,2014-09-04,89.0,53.0,22.0,48.0
247,2014-09-05,108.0,64.0,32.0,47.0
248,2014-09-06,135.0,61.0,42.0,49.0
249,2014-09-07,122.0,61.0,40.0,47.0
250,2014-09-08,121.0,61.0,32.0,50.0
251,2014-09-09,114.0,59.0,25.0,50.0
252,2014-09-10,102.0,69.0,24.0,46.0
253,2014-09-11,100.0,59.0,28.0,51.0
254,2014-09-12,89.0,75.0,31.0,49.0
255,2014-09-13,110.0,60.0,32.0,51.0
256,2014-09-14,103.0,62.0,31.0,54.0
257,2014-09-15,98.0,65.0,37.0,67.0
258,2014-09-16,93.0,56.0,26.0,65.0
259,2014-09-17,83.0,48.0,20.0,64.0
260,2014-09-18,79.0,42.0,16.0,54.0
261,2014-09-19,74.0,40.0,28.0,49.0
262,2014-09-20,76.0,35.0,29.0,38.0
263,2014-09-21,75.0,52.0,27.0,47.0
264,2014-09-22,102.0,62.0,24.0,53.0
265,2014-09-23,125.0,58.0,25.0,55.0
266,2014-09-24,131.0,44.0,20.0,54.0
267,2014-09-25,71.0,48.0,23.0,66.0
268,2014-09-26,82.0,48.0,28.0,49.0
269,2014-09-27,76.0,39.0,29.0,56.0
270,2014-09-28,72.0,41.0,19.0,58.0
271,2014-09-29,87.0,51.0,20.0,71.0
272,2014-09-30,104.0,49.0,22.0,65.0
273,2014-10-01,100.0,45.0,15.0,54.0
274,2014-10-02,78.0,61.0,25.0,71.0
275,2014-10-03,106.0,53.0,28.0,53.0
276,2014-10-04,83.0,34.0,20.0,38.0
277,2014-10-05,56.0,35.0,14.0,44.0
278,2014-10-06,70.0,29.0,19.0,43.0
279,2014-10-07,54.0,27.0,22.0,48.0
280,2014-10-08,61.0,35.0,20.0,45.0
281,2014-10-09,63.0,45.0,12.0,51.0
282,2014-10-10,87.0,38.0,21.0,46.0
283,2014-10-11,80.0,36.0,13.0,42.0
284,2014-10-12,80.0,25.0,24.0,41.0
285,2014-10-13,53.0,34.0,23.0,59.0
286,2014-10-14,67.0,44.0,8.0,55.0
287,2014-10-15,92.0,36.0,17.0,45.0
